hostname,pl_name
Teegarden's Star,Teegarden's Star c
K2-288 B,K2-288 B b
GJ 3293,GJ 3293 d
Ross 128,Ross 128 b
GJ 180,GJ 180 c
GJ 433,GJ 433 d
LP 890-9,LP 890-9 c
Kepler-1649,Kepler-1649 c
Kepler-1638,Kepler-1638 b
Kepler-1544,Kepler-1544 b
Kepler-1701,Kepler-1701 b
Kepler-442,Kepler-442 b
Kepler-1229,Kepler-1229 b
Kepler-155,Kepler-155 c
Kepler-443,Kepler-443 b
Kepler-62,Kepler-62 e
Kepler-1652,Kepler-1652 b
Kepler-174,Kepler-174 d
Kepler-452,Kepler-452 b
Kepler-1653,Kepler-1653 b
Kepler-1410,Kepler-1410 b
LHS 1140,LHS 1140 b
Kepler-705,Kepler-705 b
Kepler-296,Kepler-296 f
Kepler-283,Kepler-283 c
Kepler-62,Kepler-62 f
Kepler-1606,Kepler-1606 b
Kepler-296,Kepler-296 e
Kepler-1540,Kepler-1540 b
Kepler-440,Kepler-440 b
Kepler-22,Kepler-22 b
Kepler-186,Kepler-186 f
K2-72,K2-72 e
Teegarden's Star,Teegarden's Star b
K2-332,K2-332 b
K2-3,K2-3 d
GJ 1002,GJ 1002 c
GJ 367,GJ 367 d
HD 216520,HD 216520 c
Wolf 1061,Wolf 1061 c
GJ 682,GJ 682 b
HIP 38594,HIP 38594 b
GJ 667 C,GJ 667 C f
GJ 667 C,GJ 667 C c
GJ 357,GJ 357 d
K2-18,K2-18 b
GJ 667 C,GJ 667 C e
TOI-904,TOI-904 c
TOI-700,TOI-700 e
TOI-700,TOI-700 d
GJ 514,GJ 514 b
GJ 1002,GJ 1002 b
TRAPPIST-1,TRAPPIST-1 d
TOI-715,TOI-715 b
TRAPPIST-1,TRAPPIST-1 f
K2-9,K2-9 b
TRAPPIST-1,TRAPPIST-1 g
TRAPPIST-1,TRAPPIST-1 e
Proxima Cen,Proxima Cen b
TOI-2257,TOI-2257 b
GJ 229,GJ 229 A c
GJ 273,GJ 273 b
GJ 163,GJ 163 c
GJ 1061,GJ 1061 c
HN Lib,HN Lib b
GJ 180,GJ 180 d
HD 40307,HD 40307 g
GJ 1061,GJ 1061 d
Ross 508,Ross 508 b
Wolf 1069,Wolf 1069 b
